tag,algo,repeat,fold,model__estimator__depth,model__estimator__iterations,model__estimator__l2_leaf_reg,model__estimator__learning_rate,model__n_features_to_select,model__estimator__class_weight,model__estimator__max_depth,model__estimator__max_features,model__estimator__min_samples_leaf,model__estimator__colsample_bytree,model__estimator__min_child_weight,model__estimator__n_estimators,model__estimator__reg_lambda,model__estimator__subsample,model__C,model__l1_ratio
L1,cat,0,0,2.0,60.0,2.5278215268078905,0.07291346963302432,9.0,,,,,,,,,,,
L1,cat,0,1,3.0,120.0,11.587950184865049,0.020006195614385044,9.0,,,,,,,,,,,
L1,cat,0,2,2.0,60.0,2.7461997819373067,0.043610392335080024,9.0,,,,,,,,,,,
L1,cat,0,3,3.0,120.0,4.670791035804465,0.035856527714077574,6.0,,,,,,,,,,,
L1,cat,0,4,2.0,60.0,7.632432490393674,0.02933626187182734,9.0,,,,,,,,,,,
L1,cat,1,0,2.0,120.0,1.0355062329206202,0.05313319546433562,6.0,,,,,,,,,,,
L1,cat,1,1,3.0,120.0,2.4633778191364275,0.0340106178985949,6.0,,,,,,,,,,,
L1,cat,1,2,2.0,60.0,4.142931488964905,0.028756137479717527,6.0,,,,,,,,,,,
L1,cat,1,3,2.0,60.0,3.1079698261427335,0.02159243546980919,9.0,,,,,,,,,,,
L1,cat,1,4,2.0,60.0,8.112751087539538,0.10352510820625224,6.0,,,,,,,,,,,
L1,cat,2,0,2.0,60.0,18.222438582838627,0.08402310138822174,9.0,,,,,,,,,,,
L1,cat,2,1,4.0,120.0,3.173559118917757,0.18301208473588085,9.0,,,,,,,,,,,
L1,cat,2,2,3.0,60.0,2.7486763372743397,0.0826359477194841,9.0,,,,,,,,,,,
L1,cat,2,3,2.0,120.0,4.551937669476322,0.05990982427279985,9.0,,,,,,,,,,,
L1,cat,2,4,4.0,120.0,6.790644416802788,0.02425192344262133,9.0,,,,,,,,,,,
L2,cat,0,0,3.0,60.0,4.429649570464296,0.22378781034469908,6.0,,,,,,,,,,,
L2,cat,0,1,2.0,120.0,4.518910031150273,0.03724206467838501,14.0,,,,,,,,,,,
L2,cat,0,2,2.0,60.0,1.2486366645947955,0.06375891573334211,14.0,,,,,,,,,,,
L2,cat,0,3,3.0,120.0,4.670791035804465,0.035856527714077574,14.0,,,,,,,,,,,
L2,cat,0,4,4.0,60.0,28.35319744112496,0.03116903980921786,12.0,,,,,,,,,,,
L2,cat,1,0,2.0,60.0,1.8587243116217973,0.14979599495348384,14.0,,,,,,,,,,,
L2,cat,1,1,3.0,120.0,2.4633778191364275,0.0340106178985949,6.0,,,,,,,,,,,
L2,cat,1,2,4.0,60.0,15.804472015901384,0.12406709601256628,12.0,,,,,,,,,,,
L2,cat,1,3,2.0,60.0,3.1079698261427335,0.02159243546980919,12.0,,,,,,,,,,,
L2,cat,1,4,2.0,120.0,5.409546093357345,0.028251603198587643,6.0,,,,,,,,,,,
L2,cat,2,0,4.0,60.0,6.8214613566864974,0.0750727224492485,6.0,,,,,,,,,,,
L2,cat,2,1,4.0,120.0,10.73290009995902,0.08399082612204084,14.0,,,,,,,,,,,
L2,cat,2,2,3.0,60.0,2.7486763372743397,0.0826359477194841,12.0,,,,,,,,,,,
L2,cat,2,3,2.0,60.0,4.168827361946422,0.022195548988474336,6.0,,,,,,,,,,,
L2,cat,2,4,4.0,120.0,6.790644416802788,0.02425192344262133,12.0,,,,,,,,,,,
