tag,algo,imputer,repeat,fold,auc,inner_auc,n_train,n_test,seconds,kind
L1,cat,median,0,0,0.8214285714285714,0.7753367003367003,151,38,5.40318489074707,cv
L1,cat,median,0,1,0.7979797979797979,0.7722101972101972,151,38,5.039486408233643,cv
L1,cat,median,0,2,0.6801346801346801,0.8301647426647427,151,38,4.5202717781066895,cv
L1,cat,median,0,3,0.8080808080808081,0.7823412698412698,151,38,5.878914833068848,cv
L1,cat,median,0,4,0.8481481481481481,0.774891774891775,152,37,5.7086591720581055,cv
L1,cat,median,1,0,0.8535714285714286,0.7656565656565657,151,38,5.801249742507935,cv
L1,cat,median,1,1,0.8653198653198654,0.7788750601250601,151,38,5.9739227294921875,cv
L1,cat,median,1,2,0.8855218855218854,0.7705958393458394,151,38,6.310261487960815,cv
L1,cat,median,1,3,0.797979797979798,0.7975499037999038,151,38,4.276804447174072,cv
L1,cat,median,1,4,0.6592592592592592,0.8390662578162578,152,37,4.951722860336304,cv
L1,cat,median,2,0,0.7964285714285715,0.8034511784511784,151,38,5.840642929077148,cv
L1,cat,median,2,1,0.6531986531986531,0.8378727753727754,151,38,4.828420162200928,cv
L1,cat,median,2,2,0.8821548821548821,0.7894360269360269,151,38,4.75297737121582,cv
L1,cat,median,2,3,0.8282828282828283,0.7709084896584897,151,38,4.869862079620361,cv
L1,cat,median,2,4,0.825925925925926,0.7863425925925926,152,37,5.235877752304077,cv
L2,cat,median,0,0,0.8142857142857143,0.825925925925926,151,38,5.838831663131714,cv
L2,cat,median,0,1,0.882154882154882,0.7992815055315056,151,38,5.664009094238281,cv
L2,cat,median,0,2,0.7104377104377104,0.8455778018278017,151,38,4.236124753952026,cv
L2,cat,median,0,3,0.8787878787878787,0.8074585137085137,151,38,7.368370771408081,cv
L2,cat,median,0,4,0.8629629629629629,0.8180254930254931,152,37,5.535201072692871,cv
L2,cat,median,1,0,0.9285714285714285,0.7957070707070706,151,38,8.817909479141235,cv
L2,cat,median,1,1,0.8787878787878788,0.7932810245310246,151,38,8.489749908447266,cv
L2,cat,median,1,2,0.8484848484848485,0.8338353775853775,151,38,6.335788726806641,cv
L2,cat,median,1,3,0.8148148148148149,0.8049783549783549,151,38,5.898229122161865,cv
L2,cat,median,1,4,0.7,0.8593704906204906,152,37,6.8442792892456055,cv
L2,cat,median,2,0,0.8214285714285715,0.8539562289562288,151,38,5.383043527603149,cv
L2,cat,median,2,1,0.7441077441077442,0.8649981962481962,151,38,7.3669538497924805,cv
