tag,algo,imputer,auc_mean,auc_run_sd,pooled_auc,n_repeats,fold_sd
L1,cat,median,0.8002276735610069,0.010908237336667773,0.7648908620051794,3,0.07618643771430243
L1,enet,median,0.8055892255892255,0.012690116373916533,0.7774694783573807,3,0.07272493040263034
L1,rf,median,0.8050929934263268,0.013269621710286362,0.7815852756196818,3,0.0663879204406687
L1,xgb,median,0.7977164502164502,0.012636316744176701,0.778070662227155,3,0.07127106721628167
L2,cat,median,0.8313115279781945,0.002448723956211722,0.7927765445800962,3,0.06927164560141363
L2,enet,median,0.8184447651114318,0.01547169606319726,0.798094709581946,3,0.0803847665388346
L2,rf,median,0.8370137886804554,0.00893831215126224,0.821818349981502,3,0.08223534393593764
L2,xgb,median,0.830256934423601,0.014757375014689012,0.8045921198668147,3,0.09024561189520328
L3,cat,median,0.8507936507936508,0.01034155145019061,0.8128468368479468,3,0.05671338121429528
L3,enet,median,0.8383670033670034,0.009801332591085237,0.8274602293747688,3,0.06320711384226547
L3,rf,median,0.8513684463684464,0.004869333481996702,0.8368479467258602,3,0.05962247118679373
L3,xgb,median,0.8392889209555876,0.013028097222316133,0.8193211246762856,3,0.05698265234747973
L4,cat,median,0.8940668590668591,0.007095916292742233,0.8829078801331853,3,0.06066313120559167
L4,enet,median,0.9252380952380953,0.006332749471857798,0.9255456899741028,3,0.05980534596995162
L4,rf,median,0.8968646785313452,0.013821346136431028,0.8842027376988532,3,0.056095328421488955
L4,xgb,median,0.8986620169953503,0.010399736620263148,0.8902145763965964,3,0.053657812045669454
L4r,cat,median,0.9178691678691678,0.008729730390709912,0.9066315205327413,3,0.06915652759205557
L4r,enet,median,0.9160357543690877,0.012573470415464775,0.9090825009248982,3,0.06738102135197645
L4r,rf,median,0.9151154401154401,0.0020787166345599653,0.9073251942286348,3,0.07285336086667188
L4r,xgb,median,0.9120238095238095,0.0040218844145171306,0.9035562338142805,3,0.06132738853934752
L5,cat,iterative,0.8979677729677729,,0.8819367369589346,1,0.05503440236532488
L5,cat,knn,0.8633838383838384,,0.8393451720310765,1,0.07587500252017709
L5,cat,locf,0.8984271284271284,,0.8899833518312985,1,0.045032427699537414
L5,cat,mean,0.8900240500240499,,0.8627913429522752,1,0.05156971908855231
L5,cat,median,0.8935169151835818,0.007386997805761677,0.8803181650018498,3,0.06208058987741515
L5,enet,iterative,0.9340812890812892,,0.9295227524972253,1,0.057439043313154706
L5,enet,knn,0.9345430495430496,,0.926054384017758,1,0.05875953904323349
L5,enet,locf,0.9422174122174123,,0.9193951165371809,1,0.0622162259737617
L5,enet,mean,0.9336123136123137,,0.928274139844617,1,0.05958237434549847
L5,enet,median,0.9245374378707713,0.008630803529482221,0.9252219755826859,3,0.061373624896036885
L5,rf,iterative,0.8754858104858105,,0.8644561598224195,1,0.09238412202482821
L5,rf,knn,0.8813492063492063,,0.8693118756936736,1,0.09736098568386725
L5,rf,locf,0.8717532467532468,,0.8683407325194228,1,0.09349353123481403
L5,rf,mean,0.8874098124098124,,0.8718091009988901,1,0.06458366631106399
L5,rf,median,0.882910052910053,0.0011353521944855024,0.8709766925638179,3,0.06546624525837576
L5,xgb,iterative,0.9029653679653679,,0.8909544950055495,1,0.050704420789206124
L5,xgb,knn,0.9045550745550746,,0.8962264150943395,1,0.06417019557184148
L5,xgb,locf,0.9054737854737855,,0.8948390677025527,1,0.06766675378445872
L5,xgb,mean,0.8858056758056758,,0.8784683684794673,1,0.06740735746763583
L5,xgb,median,0.8857768157768158,0.015285648702166824,0.876803551609323,3,0.06043576460481325
missing_only,enet,median,0.6422514830848164,0.037324128441517446,0.6249537550869405,3,0.08910180515113932
missing_only,xgb,median,0.6764746673080007,0.01389680140074954,0.6547817240103588,3,0.07072613602190893
study_only,enet,median,0.6823909732243066,0.004311554995743589,0.661232889382168,3,0.07620371119182691
study_only,xgb,median,0.6823909732243066,0.004311554995743589,0.6472206807251203,3,0.07620371119182691
