imputer,algo,mean,std,size
iterative,cat,0.8979677729677729,0.05503440236532488,5
iterative,enet,0.9340812890812892,0.057439043313154706,5
iterative,rf,0.8754858104858105,0.09238412202482821,5
iterative,xgb,0.9029653679653679,0.050704420789206124,5
knn,cat,0.8633838383838384,0.07587500252017709,5
knn,enet,0.9345430495430496,0.05875953904323349,5
knn,rf,0.8813492063492063,0.09736098568386725,5
knn,xgb,0.9045550745550746,0.06417019557184148,5
locf,cat,0.8984271284271284,0.045032427699537414,5
locf,enet,0.9422174122174123,0.0622162259737617,5
locf,rf,0.8717532467532468,0.09349353123481403,5
locf,xgb,0.9054737854737855,0.06766675378445872,5
mean,cat,0.8900240500240499,0.05156971908855231,5
mean,enet,0.9336123136123137,0.05958237434549847,5
mean,rf,0.8874098124098124,0.06458366631106399,5
mean,xgb,0.8858056758056758,0.06740735746763583,5
median,cat,0.9014189514189515,0.048730132379814314,5
median,enet,0.9343939393939393,0.06043758147853022,5
median,rf,0.8830711880711881,0.061972264417817634,5
median,xgb,0.8925444925444925,0.06568205549600672,5
