from,to,algo,delta_mean,delta_sd,t_corrected,p_corrected,p_naive,n_folds
L1,L2,cat,0.031083854417187744,0.04678036949457316,1.1807828676460628,0.2573614267305248,0.02208845912627679,15
L1,L2,enet,0.012855539522206194,0.02077693587480063,1.0995313921436793,0.29008479780698404,0.03108406772938824,15
L1,L2,rf,0.03192079525412859,0.042976373224920775,1.3199052754174572,0.20804270092955285,0.012191183241005333,15
L1,L2,xgb,0.032540484207150874,0.05676054786563644,1.0187702564537515,0.3255954218600128,0.04340964255787647,15
L2,L3,cat,0.019482122815456138,0.03979465920963033,0.869982089202627,0.39898137121927546,0.07877958695610242,15
L2,L3,enet,0.01992223825557158,0.037953870735074946,0.9327835536598883,0.36674057459756865,0.06147188180270463,15
L2,L3,rf,0.014354657687991039,0.058759299433836495,0.43412525952620495,0.6708132066955831,0.36011523229765824,15
L2,L3,xgb,0.009031986531986521,0.05187893124588588,0.30937918097040945,0.7615897486669815,0.5111166648950528,15
L3,L4,cat,0.04327320827320832,0.04073070356801749,1.8879739934910773,0.07993163226833556,0.001051427962976669,15
L3,L4,enet,0.08687109187109185,0.03015443150648659,5.11944591976264,0.00015601004220988293,2.3669950042556272e-08,15
L3,L4,rf,0.0454962321628988,0.027272279196718405,2.9645093323043206,0.010247272416285149,1.495171233878075e-05,15
L3,L4,xgb,0.05937309603976269,0.03958667221571357,2.6652596573355813,0.018470256913750694,4.533040831895281e-05,15
L4,L5,cat,-0.0005499438832772337,0.020904690278503228,-0.0467491224815799,0.9633735045645417,0.9202910064950632,15
L4,L5,enet,-0.0007006573673240386,0.004868527261221627,-0.25574485853277906,0.8018671200536011,0.5860677713074689,15
L4,L5,rf,-0.013954625621292313,0.02573663409435382,-0.9635300555639712,0.3516304136643656,0.05433665714521446,15
L4,L5,xgb,-0.012885201218534507,0.021420470253752773,-1.0689589524994418,0.3031734717928545,0.035299070585571905,15
L4r,L4,cat,-0.02380230880230876,0.04164780680268916,-1.0156072064432873,0.327047710138669,0.04397537556361257,15
L4r,L4,enet,0.009202340869007515,0.02874568299161465,0.5688850344696974,0.5784468517718677,0.2354089961578122,15
L4r,L4,rf,-0.018250761584094933,0.04230899530057395,-0.7665616778974234,0.4560744376518173,0.11697955477759424,15
L4r,L4,xgb,-0.0133617925284592,0.03121099372168229,-0.7607745091035844,0.4594142633521354,0.11953191876479473,15
