contrast,algo,repeat,fold,delta
L1->L2,cat,0,0,-0.0071428571428571175
L1->L2,cat,0,1,0.08417508417508412
L1->L2,cat,0,2,0.030303030303030276
L1->L2,cat,0,3,0.07070707070707061
L1->L2,cat,0,4,0.014814814814814836
L1->L2,cat,1,0,0.07499999999999984
L1->L2,cat,1,1,0.013468013468013407
L1->L2,cat,1,2,-0.03703703703703687
L1->L2,cat,1,3,0.01683501683501687
L1->L2,cat,1,4,0.040740740740740744
L1->L2,cat,2,0,0.025000000000000022
L1->L2,cat,2,1,0.09090909090909105
L1->L2,cat,2,2,-0.06397306397306401
L1->L2,cat,2,3,0.09764309764309764
L1->L2,cat,2,4,0.014814814814814725
L1->L2,enet,0,0,0.028571428571428692
L1->L2,enet,0,1,0.03703703703703698
L1->L2,enet,0,2,-0.03367003367003363
L1->L2,enet,0,3,0.006734006734006703
L1->L2,enet,0,4,0.0185185185185186
L1->L2,enet,1,0,0.021428571428571463
L1->L2,enet,1,1,-0.0033670033670033517
L1->L2,enet,1,2,-0.006734006734006703
L1->L2,enet,1,3,0.04377104377104368
L1->L2,enet,1,4,0.025925925925925908
L1->L2,enet,2,0,0.0071428571428571175
L1->L2,enet,2,1,0.0
L1->L2,enet,2,2,0.0033670033670034627
L1->L2,enet,2,3,0.04040404040404044
L1->L2,enet,2,4,0.0037037037037035425
L1->L2,rf,0,0,0.010714285714285565
L1->L2,rf,0,1,0.07744107744107753
L1->L2,rf,0,2,0.026936026936027035
L1->L2,rf,0,3,0.06734006734006726
L1->L2,rf,0,4,0.007407407407407418
L1->L2,rf,1,0,0.08571428571428574
L1->L2,rf,1,1,0.05050505050505061
L1->L2,rf,1,2,-0.020202020202020332
L1->L2,rf,1,3,0.03703703703703709
L1->L2,rf,1,4,-0.011111111111111183
L1->L2,rf,2,0,0.03928571428571426
L1->L2,rf,2,1,0.010101010101010055
L1->L2,rf,2,2,-0.0505050505050505
L1->L2,rf,2,3,0.11111111111111116
L1->L2,rf,2,4,0.03703703703703709
L1->L2,xgb,0,0,-0.010714285714285676
L1->L2,xgb,0,1,0.006734006734006592
L1->L2,xgb,0,2,-0.0572390572390572
L1->L2,xgb,0,3,0.0572390572390572
L1->L2,xgb,0,4,0.1333333333333332
L1->L2,xgb,1,0,0.11071428571428565
L1->L2,xgb,1,1,0.0639730639730639
L1->L2,xgb,1,2,-0.03367003367003352
L1->L2,xgb,1,3,0.07239057239057245
L1->L2,xgb,1,4,0.022222222222222143
L1->L2,xgb,2,0,0.03928571428571437
L1->L2,xgb,2,1,0.010101010101010166
L1->L2,xgb,2,2,-0.026936026936026924
L1->L2,xgb,2,3,0.10437710437710435
L1->L2,xgb,2,4,-0.0037037037037035425
L2->L3,cat,0,0,0.017857142857142794
L2->L3,cat,0,1,-0.013468013468013407
L2->L3,cat,0,2,0.03367003367003374
L2->L3,cat,0,3,-0.04377104377104368
L2->L3,cat,0,4,0.059259259259259234
L2->L3,cat,1,0,-0.0357142857142857
L2->L3,cat,1,1,-0.02020202020202022
L2->L3,cat,1,2,0.0033670033670033517
L2->L3,cat,1,3,0.08417508417508401
L2->L3,cat,1,4,0.051851851851851816
L2->L3,cat,2,0,-0.017857142857142905
L2->L3,cat,2,1,0.06060606060606055
L2->L3,cat,2,2,0.0505050505050505
L2->L3,cat,2,3,0.010101010101010055
L2->L3,cat,2,4,0.05185185185185193
L2->L3,enet,0,0,0.021428571428571352
L2->L3,enet,0,1,-0.047138047138047146
L2->L3,enet,0,2,0.07407407407407407
L2->L3,enet,0,3,0.026936026936026924
L2->L3,enet,0,4,0.025925925925925908
L2->L3,enet,1,0,-0.06071428571428572
L2->L3,enet,1,1,0.010101010101010166
L2->L3,enet,1,2,0.0033670033670033517
L2->L3,enet,1,3,0.047138047138047035
L2->L3,enet,1,4,0.0444444444444444
L2->L3,enet,2,0,0.0071428571428572285
L2->L3,enet,2,1,0.08417508417508412
L2->L3,enet,2,2,0.030303030303030276
L2->L3,enet,2,3,0.01683501683501687
L2->L3,enet,2,4,0.014814814814814836
L2->L3,rf,0,0,0.042857142857142816
L2->L3,rf,0,1,-0.0505050505050505
L2->L3,rf,0,2,0.05387205387205374
L2->L3,rf,0,3,-0.0505050505050505
L2->L3,rf,0,4,0.08888888888888902
L2->L3,rf,1,0,-0.07857142857142863
L2->L3,rf,1,1,-0.05723905723905731
L2->L3,rf,1,2,0.043771043771043794
L2->L3,rf,1,3,0.101010101010101
L2->L3,rf,1,4,0.0814814814814816
L2->L3,rf,2,0,-0.014285714285714235
L2->L3,rf,2,1,0.0033670033670034627
L2->L3,rf,2,2,0.043771043771043905
L2->L3,rf,2,3,-0.03703703703703709
L2->L3,rf,2,4,0.04444444444444451
L2->L3,xgb,0,0,0.019642857142857073
L2->L3,xgb,0,1,-0.02020202020202022
L2->L3,xgb,0,2,0.10437710437710446
L2->L3,xgb,0,3,-0.030303030303030165
L2->L3,xgb,0,4,0.025925925925925908
L2->L3,xgb,1,0,-0.08571428571428574
L2->L3,xgb,1,1,-0.05387205387205374
L2->L3,xgb,1,2,-0.030303030303030387
L2->L3,xgb,1,3,0.013468013468013407
L2->L3,xgb,1,4,0.10370370370370374
L2->L3,xgb,2,0,0.0035714285714285587
L2->L3,xgb,2,1,0.03367003367003363
L2->L3,xgb,2,2,-0.0033670033670034627
L2->L3,xgb,2,3,0.006734006734006703
L2->L3,xgb,2,4,0.04814814814814805
L3->L4,cat,0,0,0.10000000000000009
L3->L4,cat,0,1,0.026936026936027035
L3->L4,cat,0,2,0.07744107744107742
L3->L4,cat,0,3,0.07070707070707072
L3->L4,cat,0,4,0.007407407407407529
L3->L4,cat,1,0,-0.046428571428571375
L3->L4,cat,1,1,0.06734006734006726
