tag,algo,held_out,auc,n_test,prevalence
L1,cat,A,0.7417910447761195,77,0.8701298701298701
L1,cat,B,0.6583333333333333,62,0.6774193548387096
L1,cat,C,0.8631239935587762,50,0.54
L2,cat,A,0.8313432835820894,77,0.8701298701298701
L2,cat,B,0.7178571428571427,62,0.6774193548387096
L2,cat,C,0.8341384863123994,50,0.54
L3,cat,A,0.8761194029850745,77,0.8701298701298701
L3,cat,B,0.7726190476190476,62,0.6774193548387096
L3,cat,C,0.8663446054750402,50,0.54
L4,cat,A,0.9223880597014926,77,0.8701298701298701
L4,cat,B,0.8369047619047618,62,0.6774193548387096
L4,cat,C,0.9114331723027376,50,0.54
L5,cat,A,0.8955223880597015,77,0.8701298701298701
L5,cat,B,0.8464285714285715,62,0.6774193548387096
L5,cat,C,0.9227053140096618,50,0.54
L1,rf,A,0.7895522388059701,77,0.8701298701298701
L1,rf,B,0.7416666666666667,62,0.6774193548387096
L1,rf,C,0.856682769726248,50,0.54
L2,rf,A,0.817910447761194,77,0.8701298701298701
L2,rf,B,0.736904761904762,62,0.6774193548387096
L2,rf,C,0.8389694041867954,50,0.54
L3,rf,A,0.8791044776119403,77,0.8701298701298701
L3,rf,B,0.7797619047619048,62,0.6774193548387096
L3,rf,C,0.888888888888889,50,0.54
L4,rf,A,0.8865671641791044,77,0.8701298701298701
L4,rf,B,0.8071428571428572,62,0.6774193548387096
L4,rf,C,0.895330112721417,50,0.54
L5,rf,A,0.9029850746268657,77,0.8701298701298701
L5,rf,B,0.8214285714285714,62,0.6774193548387096
L5,rf,C,0.9146537842190017,50,0.54
L1,xgb,A,0.7649253731343283,77,0.8701298701298701
L1,xgb,B,0.7273809523809524,62,0.6774193548387096
L1,xgb,C,0.8341384863123994,50,0.54
L2,xgb,A,0.7940298507462686,77,0.8701298701298701
L2,xgb,B,0.7428571428571429,62,0.6774193548387096
L2,xgb,C,0.8196457326892109,50,0.54
L3,xgb,A,0.81044776119403,77,0.8701298701298701
L3,xgb,B,0.7738095238095238,62,0.6774193548387096
L3,xgb,C,0.8824476650563607,50,0.54
L4,xgb,A,0.8850746268656715,77,0.8701298701298701
L4,xgb,B,0.8547619047619048,62,0.6774193548387096
L4,xgb,C,0.893719806763285,50,0.54
L5,xgb,A,0.8910447761194029,77,0.8701298701298701
L5,xgb,B,0.8238095238095238,62,0.6774193548387096
L5,xgb,C,0.9082125603864734,50,0.54
L1,enet,A,0.7701492537313434,77,0.8701298701298701
L1,enet,B,0.6702380952380952,62,0.6774193548387096
L1,enet,C,0.8502415458937198,50,0.54
L2,enet,A,0.8074626865671642,77,0.8701298701298701
L2,enet,B,0.7107142857142857,62,0.6774193548387096
L2,enet,C,0.7665056360708534,50,0.54
L3,enet,A,0.844776119402985,77,0.8701298701298701
L3,enet,B,0.7380952380952381,62,0.6774193548387096
L3,enet,C,0.8325281803542672,50,0.54
L4,enet,A,0.8865671641791045,77,0.8701298701298701
L4,enet,B,0.8714285714285714,62,0.6774193548387096
L4,enet,C,0.9388083735909822,50,0.54
L5,enet,A,0.8880597014925372,77,0.8701298701298701
L5,enet,B,0.8666666666666667,62,0.6774193548387096
L5,enet,C,0.9420289855072463,50,0.54
