block,parameter,r_log,shrinkage
pkpd_v1,CL,0.8616837892438943,0.20050040319127527
pkpd_v1,V1,0.9005463035110916,0.528753848055161
pkpd_v1,BASE,0.94231404279441,0.0798172223201491
pkpd_v1,IC50,0.3098667221299735,0.808587016630459
pkpd_v2,CL,0.942614332273295,-0.031360971491889655
pkpd_v2,V1,0.900104650403357,0.5119644538186141
pkpd_v2,BASE,0.957762407717307,0.06505549159192181
pkpd_v2,IC50,0.40541774762300314,0.48163218353660897
pkpd_v3,CL,0.9538015952880402,-0.03193455777173737
pkpd_v3,V1,0.8980788942122427,0.2200715213389437
pkpd_v3,BASE,0.9597176534861843,0.061328705901635416
pkpd_v3,IC50,0.7924246213005631,0.11541714645556678
