feature,A,B,C,All
age,0.0,0.0,0.0,0.0
female,0.0,0.0,0.0,0.0
weight,0.0,0.0,0.0,0.0
activity,0.0,0.0,0.0,0.0
imm,0.0,0.0,0.0,0.0
v1_alb,0.0,0.0,0.0,0.0
v1_inf,0.0,0.0,0.0,0.0
v1_plt,0.0,0.0,0.0,0.0
v1_bio,0.0,0.0,0.0,0.0
v2_alb,0.03896103896103896,0.06451612903225806,1.0,0.30158730158730157
v2_inf,0.1038961038961039,0.12903225806451613,0.1,0.1111111111111111
v2_plt,0.025974025974025976,1.0,1.0,0.6031746031746031
v2_bio,0.06493506493506493,0.016129032258064516,1.0,0.2962962962962963
v2_bio_change,0.06493506493506493,0.016129032258064516,1.0,0.2962962962962963
v2_conc,0.18181818181818182,0.03225806451612903,1.0,0.3492063492063492
v2_ada,1.0,1.0,0.1,0.7619047619047619
v3_alb,0.11688311688311688,0.06451612903225806,1.0,0.3333333333333333
v3_inf,0.07792207792207792,0.0967741935483871,0.06,0.07936507936507936
v3_plt,0.1038961038961039,1.0,1.0,0.6349206349206349
v3_bio,0.07792207792207792,0.11290322580645161,0.04,0.07936507936507936
v3_bio_change,0.07792207792207792,0.11290322580645161,0.04,0.07936507936507936
v3_conc,0.09090909090909091,0.08064516129032258,0.06,0.07936507936507936
v3_ada,1.0,1.0,0.12,0.7671957671957672
v4_alb,0.025974025974025976,0.04838709677419355,1.0,0.291005291005291
v4_inf,0.1038961038961039,0.06451612903225806,0.18,0.1111111111111111
v4_plt,0.06493506493506493,1.0,1.0,0.6190476190476191
v4_bio,0.05194805194805195,0.06451612903225806,0.1,0.06878306878306878
v4_bio_change,0.05194805194805195,0.06451612903225806,0.1,0.06878306878306878
v4_conc,0.09090909090909091,0.20967741935483872,0.04,0.1164021164021164
v4_ada,0.1038961038961039,0.06451612903225806,0.04,0.07407407407407407
v1_CL,0.0,0.0,0.0,0.0
v1_V1,0.0,0.0,0.0,0.0
v1_BASE,0.0,0.0,0.0,0.0
v1_IC50,0.0,0.0,0.0,0.0
v1_Cave,0.0,0.0,0.0,0.0
v2_CL,0.0,0.0,0.0,0.0
v2_V1,0.0,0.0,0.0,0.0
v2_BASE,0.0,0.0,0.0,0.0
v2_IC50,0.0,0.0,0.0,0.0
v2_Cave,0.0,0.0,0.0,0.0
v3_CL,0.0,0.0,0.0,0.0
v3_V1,0.0,0.0,0.0,0.0
v3_BASE,0.0,0.0,0.0,0.0
v3_IC50,0.0,0.0,0.0,0.0
v3_Cave,0.0,0.0,0.0,0.0
