feature,enet,rf,xgb,cat,mean_share,n_top10
v3_IC50,0.23028433963075043,0.2186031130487563,0.2741927546590192,0.26325461058377897,0.2465837044805762,4
v3_bio,0.02560612419436891,0.14745209780397367,0.19078933644187543,0.206961020084391,0.14270214463115224,3
v1_inf,0.06000392501352396,0.04791954293220112,0.18905872860893125,0.17574339278999854,0.1181813973361637,4
v2_BASE,0.05878641941634743,0.14903445707183352,0.1514340714620701,0.0859719645258173,0.11130672811901708,4
v3_BASE,0.04530379270042963,0.09517019361995506,0.05953392172498131,0.13823663633058933,0.08456113609398883,4
v1_IC50,0.015919309320634494,0.05057560714350886,0.13499118710312266,0.12983237568542486,0.08282961981317272,3
v1_BASE,0.05940208863582763,0.09601778255232503,0.0,0.0,0.03885496779703816,2
v1_bio,0.044916235381361934,0.044653329184733095,0.0,0.0,0.022392391141523756,2
v3_inf,0.027172174663540907,0.05501542707172043,0.0,0.0,0.020546900433815334,1
v1_alb,0.011474516061936606,0.04688753750485973,0.0,0.0,0.014590513391699084,1
v2_inf,0.018672316125614347,0.036493283053318476,0.0,0.0,0.013791399794733206,0
imm,0.05270993167133032,0.0,0.0,0.0,0.01317748291783258,1
v3_Cave,0.04411882649790855,0.0,0.0,0.0,0.011029706624477137,1
v2_conc,0.043338525527280264,0.0,0.0,0.0,0.010834631381820066,1
v2_alb,0.038044950647132696,0.0,0.0,0.0,0.009511237661783174,1
v2_plt,0.03644003976522147,0.0,0.0,0.0,0.009110009941305367,0
v3_CL,0.03598036173884613,0.0,0.0,0.0,0.008995090434711533,0
v2_bio_change,0.03211761969708371,0.0,0.0,0.0,0.008029404924270928,0
v2_bio,0.01424395102148099,0.012177629012814646,0.0,0.0,0.006605395008573909,0
weight,0.025980046967439212,0.0,0.0,0.0,0.006495011741859803,0
v2_Cave,0.022575981402356473,0.0,0.0,0.0,0.005643995350589118,0
activity,0.020283422324176143,0.0,0.0,0.0,0.005070855581044036,0
v1_CL,0.019250196082372828,0.0,0.0,0.0,0.004812549020593207,0
v2_CL,0.0072304202150607864,0.0,0.0,0.0,0.0018076050537651966,0
v2_V1,0.003618902777462997,0.0,0.0,0.0,0.0009047256943657492,0
v3_plt,0.003076251747231014,0.0,0.0,0.0,0.0007690629368077535,0
v1_plt,0.002103112468085985,0.0,0.0,0.0,0.0005257781170214963,0
v1_V1,0.0013461197228548352,0.0,0.0,0.0,0.0003365299307137088,0
female,9.858233929467669e-08,0.0,0.0,0.0,2.4645584823669172e-08,0
age,0.0,0.0,0.0,0.0,0.0,0
v3_conc,0.0,0.0,0.0,0.0,0.0,0
v3_bio_change,0.0,0.0,0.0,0.0,0.0,0
v2_ada,0.0,0.0,0.0,0.0,0.0,0
v3_alb,0.0,0.0,0.0,0.0,0.0,0
v1_Cave,0.0,0.0,0.0,0.0,0.0,0
v3_ada,0.0,0.0,0.0,0.0,0.0,0
v2_IC50,0.0,0.0,0.0,0.0,0.0,0
v3_V1,0.0,0.0,0.0,0.0,0.0,0
