algo,feature,mean_abs_shap,share,scale
enet,age,0.0,0.0,log-odds
enet,female,5.361223152170463e-07,9.858233929467669e-08,log-odds
enet,weight,0.1412878110753376,0.025980046967439212,log-odds
enet,activity,0.11030774289558411,0.020283422324176143,log-odds
enet,imm,0.2866534797687832,0.05270993167133032,log-odds
enet,v1_alb,0.062402091095974055,0.011474516061936606,log-odds
enet,v1_inf,0.32632055021743234,0.06000392501352396,log-odds
enet,v1_plt,0.011437398763502252,0.002103112468085985,log-odds
enet,v1_bio,0.24426886474573534,0.044916235381361934,log-odds
enet,v2_alb,0.206900619007328,0.038044950647132696,log-odds
enet,v2_inf,0.10154603170660925,0.018672316125614347,log-odds
enet,v2_plt,0.19817259993328945,0.03644003976522147,log-odds
enet,v2_bio,0.07746316484383689,0.01424395102148099,log-odds
enet,v2_bio_change,0.17466589608703806,0.03211761969708371,log-odds
enet,v2_conc,0.23568877356751058,0.043338525527280264,log-odds
enet,v2_ada,0.0,0.0,log-odds
enet,v3_alb,0.0,0.0,log-odds
enet,v3_inf,0.14777098306173128,0.027172174663540907,log-odds
enet,v3_plt,0.016729641644900914,0.003076251747231014,log-odds
enet,v3_bio,0.13925429935056916,0.02560612419436891,log-odds
enet,v3_bio_change,0.0,0.0,log-odds
enet,v3_conc,0.0,0.0,log-odds
enet,v3_ada,0.0,0.0,log-odds
enet,v1_CL,0.10468872787867721,0.019250196082372828,log-odds
enet,v1_V1,0.007320629917484956,0.0013461197228548352,log-odds
enet,v1_BASE,0.3230475713603581,0.05940208863582763,log-odds
enet,v1_IC50,0.08657429952157496,0.015919309320634494,log-odds
enet,v1_Cave,0.0,0.0,log-odds
enet,v2_CL,0.03932133943488032,0.0072304202150607864,log-odds
enet,v2_V1,0.01968075163847961,0.003618902777462997,log-odds
enet,v2_BASE,0.31969936508206154,0.05878641941634743,log-odds
enet,v2_IC50,0.0,0.0,log-odds
enet,v2_Cave,0.12277541296265326,0.022575981402356473,log-odds
enet,v3_CL,0.19567272369259595,0.03598036173884613,log-odds
enet,v3_V1,0.0,0.0,log-odds
enet,v3_BASE,0.24637652549576894,0.04530379270042963,log-odds
enet,v3_IC50,1.2523599480838574,0.23028433963075043,log-odds
enet,v3_Cave,0.23993230000371005,0.04411882649790855,log-odds
rf,age,0.0,0.0,probability
rf,female,0.0,0.0,probability
rf,weight,0.0,0.0,probability
rf,activity,0.0,0.0,probability
rf,imm,0.0,0.0,probability
rf,v1_alb,0.01981280533572455,0.04688753750485973,probability
rf,v1_inf,0.02024888971390728,0.04791954293220112,probability
rf,v1_plt,0.0,0.0,probability
rf,v1_bio,0.018868717911181575,0.044653329184733095,probability
rf,v2_alb,0.0,0.0,probability
rf,v2_inf,0.015420607514778412,0.036493283053318476,probability
rf,v2_plt,0.0,0.0,probability
rf,v2_bio,0.005145780860352519,0.012177629012814646,probability
rf,v2_bio_change,0.0,0.0,probability
rf,v2_conc,0.0,0.0,probability
rf,v2_ada,0.0,0.0,probability
rf,v3_alb,0.0,0.0,probability
rf,v3_inf,0.023247327649074587,0.05501542707172043,probability
rf,v3_plt,0.0,0.0,probability
rf,v3_bio,0.06230738199530207,0.14745209780397367,probability
rf,v3_bio_change,0.0,0.0,probability
rf,v3_conc,0.0,0.0,probability
rf,v3_ada,0.0,0.0,probability
rf,v1_CL,0.0,0.0,probability
rf,v1_V1,0.0,0.0,probability
rf,v1_BASE,0.04057328952880005,0.09601778255232503,probability
rf,v1_IC50,0.021371236631195712,0.05057560714350886,probability
rf,v1_Cave,0.0,0.0,probability
rf,v2_CL,0.0,0.0,probability
rf,v2_V1,0.0,0.0,probability
rf,v2_BASE,0.06297602398022263,0.14903445707183352,probability
rf,v2_IC50,0.0,0.0,probability
rf,v2_Cave,0.0,0.0,probability
rf,v3_CL,0.0,0.0,probability
rf,v3_V1,0.0,0.0,probability
