algo,group,shap_share,true_share,spearman,compared_with
enet,exposure,0.17752456049014842,0.24897263251738844,0.5437441120531826,phi_exposure
enet,baseline level,0.37784872577519707,0.362650477822006,0.9202669795055014,phi_base
enet,drug sensitivity,0.3364371706306216,0.3883768896606056,0.7855863061910094,phi_ic50
enet,early response,0.1081893947022046,,0.2881707815638387,total
enet,no effect,1.4840182827074282e-07,0.0,,
rf,exposure,0.05397669863074736,0.24897263251738844,0.41050772215839004,phi_exposure
rf,baseline level,0.4560379113233268,0.362650477822006,0.9062318917862032,phi_base
rf,drug sensitivity,0.27818943821581055,0.3883768896606056,0.7368776551307348,phi_ic50
rf,early response,0.21179595183011538,,0.7132583231127465,total
rf,no effect,0.0,0.0,,
xgb,exposure,0.0,0.24897263251738844,,phi_exposure
xgb,baseline level,0.38958901286881553,0.362650477822006,0.7959810696192529,phi_base
xgb,drug sensitivity,0.38651932553719676,0.3883768896606056,0.6903081942963508,phi_ic50
xgb,early response,0.22389166159398768,,0.6608778193792911,total
xgb,no effect,0.0,0.0,,
cat,exposure,0.0,0.24897263251738844,,phi_exposure
cat,baseline level,0.38335046851129423,0.362650477822006,0.8126925526105749,phi_base
cat,drug sensitivity,0.3809081471799214,0.3883768896606056,0.6905081853570096,phi_ic50
cat,early response,0.2357413843087844,,0.5701477587783362,total
cat,no effect,0.0,0.0,,
